amt,city_pop,,,amt,,,city_pop,,
1.24,50489,,,,,,,,
112.57,2304,,,Mean,74.1448,,Mean,81160.262,
6.69,5548,,,Standard Error,6.604022166,,Standard Error,9312.3488,
100.69,192,,,Median,49.68,,Median,2691,
7.8,2471,,,Mode,1.24,,Mode,1766,
71.23,1334,,,Standard Deviation,208.8375176,,Standard Deviation,294482.3258,
184.77,4056,,,Sample Variance,43613.10876,,Sample Variance,86719840181,
19.04,1288,,,Kurtosis,627.2574997,,Kurtosis,47.48090262,
47.66,397,,,Skewness,22.83755036,,Skewness,6.319714352,
49.14,316665,,,Range,5939.16,,Range,2906677,
10.24,74,,,Minimum,1.07,,Minimum,23,
34.15,489,,,Maximum,5940.23,,Maximum,2906700,
59.62,263,,,Sum,74144.8,,Sum,81160262,
29.77,59744,,,Count,1000,,Count,1000,
1.62,2872,,,,,,,,
55.3,128,,,,,,,,
339.04,75903,,,,,,,,
131.55,1988,,,,is_fraud,1,,,
8.63,33804,,,,,,,,
64.99,653,,,,Count of is_fraud,Column Labels,,,
133.09,24536,,,,Row Labels,entertainment,grocery_pos,misc_net,Grand Total
113.85,107941,,,,F,1,1,,2
70.48,6018,,,,M,,,2,2
9.52,2906700,,,,Grand Total,1,1,2,4
124.87,5216,,,,,,,,
5.54,4653,,,,,,,,
68.3,111,,,,,,,,
36.18,6951,,,,State,Count of amt,,,
78.99,92337,,,,TX,81,,,
93.35,795,,,,PA,65,,,
77.85,1063,,,,NY,64,,,
72.83,5341,,,,Grand Total,210,,,
90.44,4575,,,,,,,,
90.25,8333,,,,,,,,
23.21,12335,,,,,,,,
11.2,8007,,,,,,,,
1.08,641349,,,,, Correlation between amt and city pop,,,
55.18,158701,,,,,,0.113348985,,
75.86,31970,,,,,,,,
49.66,470,,,,,,,,
4.03,32891,,,,,,,,
89.85,914,,,,is_fraud,1,,Row Labels,Average of amt
27.42,123373,,,,,,,Academic librarian,130.345
8.47,9506,,,,Category,Count of amt,,"Accountant, chartered public finance",79.67
231.99,218,,,,entertainment,1,,Accounting technician,24.875
121.51,263,,,,grocery_pos,1,,Acupuncturist,64.0075
43.55,142,,,,misc_net,2,,Administrator,65.825
42.4,6120,,,,Grand Total,4,,"Administrator, education",47.29666667
342.95,460,,,,,,,"Administrator, local government",101.38
101.8,123373,,,,,,,Advertising account executive,288.04
23.4,4056,,,,,,,Advertising account planner,52.45
44.57,1766,,,,,,,Advice worker,68.07
62.2,4729,,,,,,,Aeronautical engineer,53.265
6.57,1661,,,,,,,Agricultural consultant,57.63875
33.57,19408,,,,,,,Aid worker,47.275
7.52,331,,,,,,,Airline pilot,155.6
564.34,46,,,,,,,Amenity horticulturist,28.045
29.08,1288,,,,,,,Animator,40.29
2.02,9679,,,,,,,Applications developer,45.28
2.24,272,,,,,,,Arboriculturist,53.355
13.35,149,,,,,,,Archaeologist,116.9633333
54.83,7163,,,,,,,Architect,26.4
9.73,1970,,,,,,,Archivist,68.22
100.99,1841,,,,,,,Armed forces training and education officer,66.77
12.06,9594,,,,,,,Art gallery manager,66.8
